Wavelength,;µm;n;k
0.022543;0.97998;0.0050004;
0.024797;0.97048;0.0057469;
0.027552;0.95834;0.0066191;
0.030996;0.94189;0.0078466;
0.035424;0.91802;0.0093121;
0.041328;0.88013;0.011651;
0.049594;0.81512;0.015894;
0.061993;0.67912;0.02234;
0.065255;0.63242;0.02477;
0.068881;0.57251;0.027681;
0.072932;0.49131;0.032409;
0.077491;0.37197;0.044202;
0.078472;0.34031;0.04832;
0.079478;0.30373;0.053349;
0.07999;0.28271;0.056697;
0.08051;0.25936;0.061407;
0.081036;0.23344;0.068348;
0.081569;0.20569;0.079959;
0.082109;0.17943;0.094223;
0.082657;0.15065;0.11041;
0.083774;0.094517;0.16589;
0.084921;0.067041;0.2342;
0.086101;0.054863;0.29293;
0.088561;0.044168;0.39115;
0.095373;0.036437;0.59086;
0.10332;0.035753;0.77163;
0.11271;0.038468;0.95677;
0.12399;0.046304;1.1555;
0.13776;0.057167;1.3775;
0.15498;0.072505;1.6366;
0.17712;0.094236;1.9519;
0.20664;0.12677;2.3563;
0.24797;0.18137;2.9029;
0.30996;0.28003;3.7081;
0.32628;0.31474;3.9165;
0.36466;0.39877;4.3957;
0.41328;0.52135;5.0008;
0.4428;0.6079;5.3676;
0.47687;0.7278;5.7781;
0.5166;0.8734;6.2418;
0.56357;1.0728;6.7839;
0.61993;1.366;7.4052;
0.65225;1.5724;7.7354;
0.68881;1.8301;8.0601;
0.72932;2.1606;8.3565;
0.77491;2.6154;8.4914;
0.79478;2.7675;8.3866;
0.81569;2.7668;8.2573;
0.83774;2.6945;8.1878;
0.88561;2.2802;8.1134;
0.91166;1.9739;8.3058;
0.93928;1.6784;8.597;
0.96863;1.4867;9.0655;
0.99988;1.4359;9.4939;
1.0332;1.3998;9.8914;
1.1271;1.3281;10.969;
1.2399;1.3157;12.245;
1.3776;1.3899;13.784;
1.5498;1.5782;15.656;
1.7712;1.9205;17.991;
2.0664;2.4738;20.982;
2.4797;3.3372;25.004;
2.7552;3.938;27.58;
3.0996;4.7097;30.737;
3.2628;5.0735;32.183;
3.444;5.4903;33.814;
3.6466;5.9564;35.608;
3.8745;6.4808;37.595;
4.1328;7.0796;39.826;
4.428;7.7757;42.367;
4.7687;8.5881;45.257;
5.166;9.558;48.593;
5.6357;10.742;52.518;
6.1993;12.195;57.156;
6.8881;14.088;62.841;
7.7491;16.755;69.857;
8.8561;20.837;78.274;
10.332;26.216;88.197;
12.399;33.519;101.28;
13.776;38.461;108.96;
15.498;43.775;118.39;
17.712;50.951;129.49;
19.075;54.413;136.09;
20.664;58.58;144.23;
22.543;63.554;153.45;
24.797;68.535;164.81;
27.552;75.748;181.78;
30.996;91.955;199.99;
33.333;102.1;208.1;
40;125.14;230.19;
44.444;140.05;243.43;
50;157.3;258.26;
57.144;177.93;275.34;
66.666;202.63;295.42;
80.001;233.56;321.08;
99.996;274.38;354.35;
125;318.81;391.71;
137.76;339.62;408.92;
153.85;364.04;429.62;
177.12;397.93;458.5;
200;423.96;483.7;
